GSM,286,1,45207,34288,0,31.1905,36.9044,3154,50,1,1353133260,1745745002,0
GSM,286,1,45207,38393,0,31.1163,36.9134,2832,50,1,1353134127,1745744161,0
GSM,286,1,45607,566,0,31.0431,36.9346,3501,49,1,1353134505,1745743261,0
GSM,286,1,45207,20032,0,31.0595,36.9186,2536,50,1,1353134505,1745743561,0
GSM,286,1,45207,29331,0,30.9396,36.8756,10980,33,1,1353134888,1745747161,0
GSM,286,1,57207,5782,0,30.5814,36.9577,3704,45,1,1353140639,1766322723,0
GSM,286,1,53407,18514,0,30.4245,37.0146,5512,11,1,1353141501,1758395409,0
GSM,286,1,53407,18515,0,30.4316,37.0284,5505,8,1,1353141797,1758395409,0
GSM,286,1,54448,57491,0,28.3378,37.0422,5560,49,1,1238857657,1746083461,0
GSM,286,1,54448,39848,0,28.3589,37.06,4614,50,1,1238857659,1746083762,0
GSM,286,1,54448,39849,0,28.3554,37.0611,856,50,1,1238857663,1746022921,0
GSM,286,1,54448,17562,0,28.3739,37.1052,8571,50,1,1238857663,1746084061,0
GSM,286,1,54448,1585,0,28.3163,37.0276,3059,44,1,1238858101,1745927162,0
GSM,286,1,54448,43914,0,28.3036,36.9864,10786,50,1,1238858128,1746082862,0
GSM,286,1,13334,5379,0,28.8816,40.9764,1715,33,1,1238839584,1723987623,0
GSM,286,1,13334,45824,0,28.9198,40.9931,526,50,1,1238839610,1746828784,0
GSM,286,1,13334,6409,0,28.8955,40.955,44566,26,1,1238858555,1723987926,0
GSM,286,1,54448,39847,0,28.3763,37.0457,2845,50,1,1238859141,1745926321,0
GSM,286,1,54448,2549,0,28.3929,37.0416,3792,33,1,1238839341,1745926021,0
GSM,286,1,40499,40238,0,33.3537,35.1688,3007,25,1,1238839692,1763096088,0
GSM,286,1,40499,40447,0,33.3842,35.1938,2086,22,1,1238859493,1753762932,0
GSM,286,1,40499,40159,0,33.3839,35.2065,1810,7,1,1238859493,1767506660,0
GSM,286,1,51235,9854,0,26.5557,38.2908,8775,40,1,1244210077,1746274094,0
GSM,286,1,52035,6340,0,27.1371,38.4212,2004,32,1,1244215985,1746353003,0
GSM,286,1,54348,34958,0,29.0477,36.7074,10799,44,1,1248948158,1745913721,0
GSM,286,1,54348,60812,0,29.0144,36.7337,15060,45,1,1248948560,1745914021,0
GSM,286,1,54348,18581,0,28.9548,36.753,3394,38,1,1248948993,1745914322,0
GSM,286,1,54348,26302,0,28.8879,36.7634,5678,42,1,1248949605,1745914921,0
GSM,286,1,45207,29896,0,30.8114,36.8567,1644,50,1,1284514520,1745748062,0
GSM,286,1,40600,41051,0,33.8738,35.0595,7977,25,1,1361146391,1769755785,0
GSM,286,1,31006,1032,0,32.8272,39.9262,1000,8,1,1382804669,1769089384,0
GSM,286,1,55348,39128,0,28.5014,37.0115,22155,50,1,1398493250,1745925122,0
GSM,286,1,45307,51593,0,30.6092,36.8452,3323,13,1,1404045355,1745825161,0
GSM,286,1,55348,45171,0,28.4706,37.015,3559,41,1,1407671160,1745925421,0
GSM,286,1,57207,4357,0,30.5607,36.7171,4227,24,1,1410884722,1745826061,0
GSM,286,1,58135,40989,0,27.1443,38.2816,2581,19,1,1424430489,1746180181,0
GSM,286,1,52235,40302,0,26.8674,38.3491,3311,32,1,1424410950,1746273877,0
GSM,286,1,52935,27447,0,27.359,37.9498,6212,29,1,1425577501,1746176881,0
GSM,286,1,51535,22422,0,27.1039,38.4564,1228,23,1,1430777693,1746365295,0
GSM,286,1,52935,45060,0,27.3444,37.9228,958,49,1,1430843845,1746193081,0
GSM,286,1,52935,4504,0,27.4089,37.9411,1855,50,1,1430844047,1746188881,0
GSM,286,1,55348,30232,0,28.7139,36.9588,5374,50,1,1437324176,1745916422,0
GSM,286,1,40498,40459,0,33.4531,35.1933,7146,7,1,1438190088,1723094932,0
GSM,286,1,40498,40209,0,33.4133,35.1614,8307,26,1,1438190088,1764824348,0
GSM,286,1,45207,59700,0,30.8977,36.8588,4539,22,1,1439492673,1745747281,0
GSM,286,1,40499,40328,0,33.2219,35.0827,14510,5,1,1442864330,1749103194,0
GSM,286,1,57207,51395,0,30.5945,36.984,5431,18,1,1443477656,1766319184,0
GSM,286,1,52235,239,0,26.8486,38.3779,31449,36,1,1455621186,1746273996,0
GSM,286,1,40499,40278,0,33.3404,35.1908,2467,4,1,1458602241,1730787981,0
GSM,286,1,40499,40169,0,33.1998,35.1655,7528,12,1,1434516774,1766033731,0
GSM,286,1,40499,42367,0,33.3672,35.1729,1951,13,1,1458602241,1768976595,0
GSM,286,1,40600,40050,0,33.8846,35.0868,8415,27,1,1458602242,1770273528,0
GSM,286,1,40600,41087,0,33.711,35.0053,3876,23,1,1445527641,1767069079,0
GSM,286,1,40497,41549,0,32.9889,35.1487,3876,2,1,1434516774,1742366298,0
GSM,286,1,40497,41568,0,33.0097,35.1387,8001,26,1,1458602240,1761113035,0
GSM,286,1,40499,40389,0,33.0751,35.1167,15866,7,1,1442835189,1766554570,0
GSM,286,1,40499,40437,0,33.3203,35.1742,3983,8,1,1434516774,1754625562,0
GSM,286,1,40600,41078,0,33.9303,35.0877,3940,4,1,1458602242,1765428569,0
GSM,286,1,40600,41288,0,33.8533,35.0535,8426,23,1,1458602242,1770446079,0
GSM,286,1,40497,40767,0,33.1915,35.1679,18291,17,1,1458602240,1769755749,0
GSM,286,1,40497,41628,0,33.0336,35.1262,9391,20,1,1458602240,1761453040,0
GSM,286,1,40497,41548,0,33.0191,35.1323,9022,25,1,1458602240,1766554553,0
